holdout_generator,variant,lr,dropout,batch_size,weight_decay,best_epoch,epochs_run,updates,train_real,train_fake,pos_weight,val_segment_auc,val_segment_eer,val_track_auc,val_track_eer,val_track_macro_f1,segment_threshold,track_threshold,elapsed_sec
musicgen,fixed_hyperparameter_transfer,0.0003,0.3,16,0.001,2,6,2382,621,5731,0.1083580526958646,0.8727842243895494,0.19696969696969696,0.9077479338842975,0.13636363636363635,0.727654059952938,0.37523525953292847,0.39788441856702167,478.4418332920177
udio,fixed_hyperparameter_transfer,0.0003,0.3,16,0.001,5,9,3582,621,5734,0.10830136030694106,0.9502653316044758,0.10459587955625993,0.971055381400209,0.06818181818181818,0.83694878539378,0.23395635187625885,0.33172982931137085,701.7192501670215
