run_id,holdout_generator,model,variant,cohort,split,level,validation_segment_threshold,validation_track_threshold,n,n_real,n_fake,real_prevalence,fake_prevalence,threshold,reason,roc_auc,ap_fake,ap_real,eer,balanced_accuracy,macro_f1,real_fpr,fake_miss_rate,hter,confusion_matrix
unseen_fixed_classical_mert_20260919T173138Z,musicgen,LogisticRegression,fixed_hyperparameter_transfer,primary,test,track,0.5696016663398128,0.5596993678619072,90,45,45,0.5,0.5,0.5596993678619072,,0.6177777777777778,0.5933995659024831,0.6765571789115137,0.4222222222222223,0.5222222222222223,0.4668687146989943,0.1555555555555555,0.8,0.4777777777777778,"[[38, 7], [36, 9]]"
unseen_fixed_classical_mert_20260919T173138Z,musicgen,RBF-SVM,fixed_hyperparameter_transfer,primary,test,track,0.5203660059515663,0.6250723343997941,90,45,45,0.5,0.5,0.6250723343997941,,0.5639506172839506,0.5458133328006618,0.6197416423256894,0.4444444444444444,0.4777777777777777,0.4074800392211794,0.1777777777777777,0.8666666666666667,0.5222222222222223,"[[37, 8], [39, 6]]"
cnn_unseen_fixed_20260919T173228Z,musicgen,Log-Mel CNN,fixed_hyperparameter_transfer,primary,test,track,0.3752352595329284,0.3978844185670216,90,45,45,0.5,0.5,0.3978844185670216,,0.7713580246913581,0.6973296855447426,0.818056129602861,0.2666666666666667,0.6444444444444445,0.6356275303643725,0.2,0.5111111111111111,0.3555555555555555,"[[36, 9], [23, 22]]"
unseen_fixed_classical_mert_20260919T173138Z,musicgen,Frozen MERT + LR,fixed_hyperparameter_transfer,primary,test,track,0.6028388033088902,0.5838492782058293,90,45,45,0.5,0.5,0.5838492782058293,,0.9407407407407408,0.9112948205913376,0.958131253452846,0.1111111111111111,0.8555555555555556,0.855108359133127,0.0888888888888888,0.2,0.1444444444444444,"[[41, 4], [9, 36]]"
unseen_fixed_classical_mert_20260919T173138Z,musicgen,LogisticRegression,fixed_hyperparameter_transfer,primary,test,segment,0.5696016663398128,0.5596993678619072,270,135,135,0.5,0.5,0.5696016663398128,,0.6002194787379973,0.5778602228265037,0.6486719363624343,0.4296296296296296,0.5444444444444445,0.5145517533729956,0.2074074074074074,0.7037037037037037,0.4555555555555555,"[[107, 28], [95, 40]]"
unseen_fixed_classical_mert_20260919T173138Z,musicgen,RBF-SVM,fixed_hyperparameter_transfer,primary,test,segment,0.5203660059515663,0.6250723343997941,270,135,135,0.5,0.5,0.5203660059515663,,0.5477091906721536,0.5198705010111598,0.5929762068589575,0.4888888888888889,0.5111111111111111,0.4665948275862069,0.2,0.7777777777777778,0.4888888888888889,"[[108, 27], [105, 30]]"
cnn_unseen_fixed_20260919T173228Z,musicgen,Log-Mel CNN,fixed_hyperparameter_transfer,primary,test,segment,0.3752352595329284,0.3978844185670216,270,135,135,0.5,0.5,0.3752352595329284,,0.7195061728395062,0.6506209653737565,0.7504844680155156,0.3111111111111111,0.6296296296296295,0.6256031948527373,0.2666666666666666,0.4740740740740741,0.3703703703703703,"[[99, 36], [64, 71]]"
unseen_fixed_classical_mert_20260919T173138Z,musicgen,Frozen MERT + LR,fixed_hyperparameter_transfer,primary,test,segment,0.6028388033088902,0.5838492782058293,270,135,135,0.5,0.5,0.6028388033088902,,0.9143484224965706,0.9029562957402276,0.9269171622000524,0.1629629629629629,0.8074074074074074,0.8056047851129818,0.0962962962962963,0.2888888888888888,0.1925925925925926,"[[122, 13], [39, 96]]"
unseen_fixed_classical_mert_20260919T173138Z,udio,LogisticRegression,fixed_hyperparameter_transfer,primary,test,track,0.5611253091684324,0.5882207589681193,93,45,48,0.4838709677419355,0.5161290322580645,0.5882207589681193,,0.8277777777777778,0.8425311835194454,0.7839691547611317,0.25,0.7145833333333333,0.7047619047619047,0.1333333333333333,0.4375,0.2854166666666666,"[[39, 6], [21, 27]]"
unseen_fixed_classical_mert_20260919T173138Z,udio,RBF-SVM,fixed_hyperparameter_transfer,primary,test,track,0.4997504335708604,0.6799603003217399,93,45,48,0.4838709677419355,0.5161290322580645,0.6799603003217399,,0.8449074074074074,0.8487207344008975,0.8402648504954633,0.2222222222222222,0.7041666666666666,0.6929245283018868,0.1333333333333333,0.4583333333333333,0.2958333333333333,"[[39, 6], [22, 26]]"
cnn_unseen_fixed_20260919T173228Z,udio,Log-Mel CNN,fixed_hyperparameter_transfer,primary,test,track,0.2339563518762588,0.3317298293113708,93,45,48,0.4838709677419355,0.5161290322580645,0.3317298293113708,,0.8550925925925926,0.8407606579078863,0.8470952805695525,0.1875,0.7784722222222222,0.771552228330799,0.0888888888888888,0.3541666666666667,0.2215277777777778,"[[41, 4], [17, 31]]"
unseen_fixed_classical_mert_20260919T173138Z,udio,Frozen MERT + LR,fixed_hyperparameter_transfer,primary,test,track,0.5778698346950816,0.589972275429367,93,45,48,0.4838709677419355,0.5161290322580645,0.589972275429367,,0.9180555555555556,0.9147636998313036,0.917333354592304,0.125,0.8097222222222222,0.8053488372093023,0.0888888888888888,0.2916666666666667,0.1902777777777778,"[[41, 4], [14, 34]]"
unseen_fixed_classical_mert_20260919T173138Z,udio,LogisticRegression,fixed_hyperparameter_transfer,primary,test,segment,0.5611253091684324,0.5882207589681193,279,135,144,0.4838709677419355,0.5161290322580645,0.5611253091684324,,0.757664609053498,0.7974928036136806,0.699972651331112,0.2986111111111111,0.7016203703703704,0.6978027645966578,0.2148148148148148,0.3819444444444444,0.2983796296296296,"[[106, 29], [55, 89]]"
