robustness_run_id,model,level,condition,clean_n,mp3_n,clean_roc_auc,mp3_roc_auc,delta_roc_auc,clean_ap_fake,mp3_ap_fake,delta_ap_fake,clean_ap_real,mp3_ap_real,delta_ap_real,clean_eer,mp3_eer,delta_eer,clean_balanced_accuracy,mp3_balanced_accuracy,delta_balanced_accuracy,clean_macro_f1,mp3_macro_f1,delta_macro_f1,clean_real_fpr,mp3_real_fpr,delta_real_fpr,clean_fake_miss_rate,mp3_fake_miss_rate,delta_fake_miss_rate,clean_hter,mp3_hter,delta_hter
mp3_optimized_20260919T175101Z,LogisticRegression,segment,mp3_128,1572,1572,0.8953168896105569,0.8796102992345163,-0.015706590376040608,0.9880844071355066,0.9862047379524801,-0.001879669183026511,0.5237236368551613,0.4555562840639583,-0.068167352791203,0.1925925925925926,0.20598469032707023,0.013392097734477637,0.8098816979819068,0.7856955076161757,-0.02418619036573111,0.6610137798540886,0.6518647247896898,-0.009149055064398781,0.2,0.2518518518518518,0.051851851851851816,0.1802366040361865,0.1767571329157968,-0.003479471120389682,0.19011830201809327,0.21430449238382432,0.024186190365731053
mp3_optimized_20260919T175101Z,LogisticRegression,segment,mp3_64,1572,1572,0.8953168896105569,0.8502590272945179,-0.04505786231603903,0.9880844071355066,0.983292967114855,-0.004791440020651572,0.5237236368551613,0.3559417688380748,-0.1677818680170865,0.1925925925925926,0.23799582463465552,0.045403232042062924,0.8098816979819068,0.7763318642233047,-0.0335498337586021,0.6610137798540886,0.5894097173753222,-0.07160406247876638,0.2,0.17037037037037037,-0.029629629629629645,0.1802366040361865,0.27696590118302017,0.09672929714683368,0.19011830201809327,0.22366813577669525,0.03354983375860199
mp3_optimized_20260919T175101Z,LogisticRegression,track,mp3_128,539,539,0.942914979757085,0.9237067026540711,-0.019208277103013982,0.9937806320448539,0.9913544309979875,-0.0024262010468664164,0.7248060382336823,0.6821632132957075,-0.04264282493797478,0.13333333333333333,0.15555555555555556,0.022222222222222227,0.8837381916329285,0.8483805668016194,-0.03535762483130911,0.7641325536062378,0.741014799154334,-0.023117754451903783,0.13333333333333333,0.2,0.06666666666666668,0.09919028340080972,0.10323886639676114,0.004048582995951414,0.11626180836707153,0.15161943319838056,0.035357624831309026
mp3_optimized_20260919T175101Z,LogisticRegression,track,mp3_64,539,539,0.942914979757085,0.9000899685110212,-0.04282501124606386,0.9937806320448539,0.9882501002528807,-0.005530531791973159,0.7248060382336823,0.6352780232925339,-0.08952801494114837,0.13333333333333333,0.17777777777777778,0.04444444444444445,0.8837381916329285,0.8007647323436797,-0.08297345928924882,0.7641325536062378,0.6146206896551725,-0.1495118639510653,0.13333333333333333,0.15555555555555556,0.022222222222222227,0.09919028340080972,0.242914979757085,0.14372469635627527,0.11626180836707153,0.19923526765632027,0.08297345928924874
mp3_optimized_20260919T175101Z,RBF-SVM,segment,mp3_128,1572,1572,0.9141421170648729,0.9001056728266192,-0.014036444238253676,0.9898335896566051,0.9878186398882595,-0.0020149497683455975,0.6711133957521902,0.6370479973650376,-0.03406539838715261,0.16296296296296298,0.17777777777777778,0.014814814814814808,0.8467408953839016,0.8378411814737494,-0.008899713910152207,0.7190223577635566,0.7251306938819205,0.006108336118363922,0.17777777777777778,0.2074074074074074,0.029629629629629617,0.12874043145441894,0.11691022964509394,-0.011830201809324994,0.15325910461609837,0.16215881852625066,0.00889971391015229
mp3_optimized_20260919T175101Z,RBF-SVM,segment,mp3_64,1572,1572,0.9141421170648729,0.8568571354931829,-0.05728498157169004,0.9898335896566051,0.9822392624999624,-0.007594327156642655,0.6711133957521902,0.525139675657937,-0.14597372009425325,0.16296296296296298,0.21481481481481482,0.05185185185185184,0.8467408953839016,0.7869403850614707,-0.059800510322430944,0.7190223577635566,0.6351444279254388,-0.08387792983811782,0.17777777777777778,0.2222222222222222,0.044444444444444425,0.12874043145441894,0.20389700765483645,0.07515657620041752,0.15325910461609837,0.21305961493852932,0.059800510322430944
mp3_optimized_20260919T175101Z,RBF-SVM,track,mp3_128,539,539,0.9581646423751686,0.9464237516869095,-0.01174089068825912,0.9955427091353837,0.9939133541188327,-0.0016293550165509263,0.8369383279402037,0.809823285332767,-0.02711504260743669,0.11538461538461542,0.13333333333333333,0.017948717948717913,0.8989428699955015,0.8878317588843905,-0.011111111111111072,0.8430584672723037,0.8364508393285373,-0.006607627943766459,0.15555555555555556,0.17777777777777778,0.022222222222222227,0.0465587044534413,0.0465587044534413,0.0,0.10105713000449842,0.11216824111560954,0.011111111111111113
mp3_optimized_20260919T175101Z,RBF-SVM,track,mp3_64,539,539,0.9581646423751686,0.9071974808816914,-0.05096716149347724,0.9955427091353837,0.9889180726611324,-0.0066246364742512664,0.8369383279402037,0.7171669921330315,-0.11977133580717225,0.11538461538461542,0.15555555555555556,0.04017094017094014,0.8989428699955015,0.8584570400359874,-0.04048582995951411,0.8430584672723037,0.7227203245340702,-0.12033814273823351,0.15555555555555556,0.15555555555555556,0.0,0.0465587044534413,0.12753036437246965,0.08097165991902835,0.10105713000449842,0.14154295996401262,0.04048582995951419
mp3_optimized_20260919T175101Z,Log-Mel CNN,segment,mp3_128,1572,1572,0.9599628856413825,0.8853991082244388,-0.07456377741694376,0.9956616441153255,0.9863807392363084,-0.009280904879017116,0.8043829290826934,0.5453234825463852,-0.2590594465363082,0.11851851851851852,0.18023660403618647,0.06171808551766794,0.8826799659785046,0.7301554163767108,-0.15252454960179385,0.7995599499358899,0.7248561056413136,-0.07470384429457622,0.16296296296296298,0.4888888888888889,0.3259259259259259,0.07167710508002784,0.05080027835768963,-0.020876826722338204,0.1173200340214954,0.2698445836232892,0.15252454960179382
mp3_optimized_20260919T175101Z,Log-Mel CNN,segment,mp3_64,1572,1572,0.9599628856413825,0.7086471300806723,-0.2513157555607103,0.9956616441153255,0.9619130733169707,-0.033748570798354804,0.8043829290826934,0.1610047840625069,-0.6433781450201865,0.11851851851851852,0.3549060542797495,0.236387535761231,0.8826799659785046,0.5283151627619268,-0.3543648032165778,0.7995599499358899,0.5329620992705333,-0.2665978506653566,0.16296296296296298,0.9037037037037037,0.7407407407407407,0.07167710508002784,0.03966597077244259,-0.032011134307585246,0.1173200340214954,0.47168483723807314,0.3543648032165777
