robustness_run_id,condition,source_final_run_id,run_id,model,variant,split,level,n,n_real,n_fake,real_prevalence,fake_prevalence,threshold,reason,roc_auc,ap_fake,ap_real,eer,balanced_accuracy,macro_f1,real_fpr,fake_miss_rate,hter,confusion_matrix
mp3_optimized_20260919T175101Z,clean,final_binary_20260919T164939Z,classical_20260919T110356Z,LogisticRegression,optimized,test,segment,1572,135,1437,0.08587786259541985,0.9141221374045801,0.5676900245181252,,0.8953168896105569,0.9880844071355066,0.5237236368551613,0.1925925925925926,0.8098816979819068,0.6610137798540886,0.2,0.1802366040361865,0.19011830201809327,"[[108, 27], [259, 1178]]"
mp3_optimized_20260919T175101Z,clean,final_binary_20260919T164939Z,classical_20260919T110356Z,LogisticRegression,optimized,test,track,539,45,494,0.08348794063079777,0.9165120593692022,0.5634561570614823,,0.942914979757085,0.9937806320448539,0.7248060382336823,0.13333333333333333,0.8837381916329285,0.7641325536062378,0.13333333333333333,0.09919028340080972,0.11626180836707153,"[[39, 6], [49, 445]]"
mp3_optimized_20260919T175101Z,clean,final_binary_20260919T164939Z,classical_20260919T110356Z,RBF-SVM,optimized,test,segment,1572,135,1437,0.08587786259541985,0.9141221374045801,0.5847561880627183,,0.9141421170648729,0.9898335896566051,0.6711133957521902,0.16296296296296298,0.8467408953839016,0.7190223577635566,0.17777777777777778,0.12874043145441894,0.15325910461609837,"[[111, 24], [185, 1252]]"
mp3_optimized_20260919T175101Z,clean,final_binary_20260919T164939Z,classical_20260919T110356Z,RBF-SVM,optimized,test,track,539,45,494,0.08348794063079777,0.9165120593692022,0.6615054850320587,,0.9581646423751686,0.9955427091353837,0.8369383279402037,0.11538461538461542,0.8989428699955015,0.8430584672723037,0.15555555555555556,0.0465587044534413,0.10105713000449842,"[[38, 7], [23, 471]]"
mp3_optimized_20260919T175101Z,clean,final_binary_20260919T164939Z,cnn_revised_20260919T110440Z,Log-Mel CNN,optimized,test,segment,1572,135,1437,0.08587786259541985,0.9141221374045801,0.142173171043396,,0.9599628856413825,0.9956616441153255,0.8043829290826934,0.11851851851851852,0.8826799659785046,0.7995599499358899,0.16296296296296298,0.07167710508002784,0.1173200340214954,"[[113, 22], [103, 1334]]"
mp3_optimized_20260919T175101Z,clean,final_binary_20260919T164939Z,cnn_revised_20260919T110440Z,Log-Mel CNN,optimized,test,track,539,45,494,0.08348794063079777,0.9165120593692022,0.2410693895071745,,0.9847053531264056,0.9985572693084643,0.9021024960445955,0.0748987854251012,0.8878542510121458,0.876436875716391,0.2,0.024291497975708502,0.11214574898785426,"[[36, 9], [12, 482]]"
mp3_optimized_20260919T175101Z,clean,final_binary_20260919T164939Z,mert_binary_20260919T110741Z,Frozen MERT + LR,optimized,test,segment,1572,135,1437,0.08587786259541985,0.9141221374045801,0.5685665621681771,,0.9730972447743499,0.9971602824825951,0.8703084501665634,0.08002783576896311,0.9220289182710895,0.8175595132717252,0.08148148148148149,0.0744606819763396,0.07797108172891054,"[[124, 11], [107, 1330]]"
mp3_optimized_20260919T175101Z,clean,final_binary_20260919T164939Z,mert_binary_20260919T110741Z,Frozen MERT + LR,optimized,test,track,539,45,494,0.08348794063079777,0.9165120593692022,0.5887511404871456,,0.9845254161043635,0.9983362835855492,0.9380866256671277,0.06666666666666667,0.9363247863247863,0.8786570743405275,0.08888888888888889,0.038461538461538464,0.06367521367521367,"[[41, 4], [19, 475]]"
mp3_optimized_20260919T175101Z,mp3_128,final_binary_20260919T164939Z,classical_20260919T110356Z,LogisticRegression,optimized,test,segment,1572,135,1437,0.08587786259541985,0.9141221374045801,0.5676900245181252,,0.8796102992345163,0.9862047379524801,0.4555562840639583,0.20598469032707023,0.7856955076161757,0.6518647247896898,0.2518518518518518,0.1767571329157968,0.21430449238382432,"[[101, 34], [254, 1183]]"
mp3_optimized_20260919T175101Z,mp3_128,final_binary_20260919T164939Z,classical_20260919T110356Z,LogisticRegression,optimized,test,track,539,45,494,0.08348794063079777,0.9165120593692022,0.5634561570614823,,0.9237067026540711,0.9913544309979875,0.6821632132957075,0.15555555555555556,0.8483805668016194,0.741014799154334,0.2,0.10323886639676114,0.15161943319838056,"[[36, 9], [51, 443]]"
