model,level,segment_score_max_abs_diff,segment_score_mean_abs_diff,delta_roc_auc,delta_ap_fake,delta_ap_real,delta_eer,delta_balanced_accuracy,delta_macro_f1,delta_real_fpr,delta_fake_miss_rate,delta_hter
LogisticRegression,segment,0.07849871013810439,0.008191138811320357,0.001866027474934806,0.0003059311347132221,0.002662615264217072,-0.001561895925152712,0.00497177762313461,-0.000997493782175618,-0.01481481481481478,0.004871259568545588,-0.004971777623134527
LogisticRegression,track,0.07849871013810439,0.008191138811320357,0.001034637876743072,9.165301316127472e-05,0.003145559499330375,2.7755575615628914e-17,-0.0030364372469635637,-0.00844128605620953,2.7755575615628914e-17,0.006072874493927127,0.003036437246963633
RBF-SVM,segment,0.19889849099434787,0.032756680315505195,0.0007783705765612714,0.00011499408986426207,0.002587575674154907,8.326672684688674e-17,0.009023428438877268,0.00093801080651712,-0.022222222222222227,0.0041753653444677324,-0.009023428438877212
RBF-SVM,track,0.19889849099434787,0.032756680315505195,-0.00044984255510571725,-6.87022694723094e-05,-0.0032067798000854353,-0.010121457489878471,-0.0010121457489878916,-0.0039439308092310554,5.551115123125783e-17,0.002024291497975797,0.0010121457489879193
Log-Mel CNN,segment,0.003855675458908081,0.0001723387218455577,3.6083404211351144e-05,4.431754803135846e-06,4.0074932371125804e-05,2.7755575615628914e-17,0.0,0.0,8.326672684688674e-17,4.163336342344337e-17,0.0
Log-Mel CNN,track,0.003855675458908081,0.0001723387218455577,0.00017993702204222028,1.8003098939955997e-05,0.0006831878427266957,0.0,0.0,0.0,0.0,3.469446951953614e-18,5.551115123125783e-17
Frozen MERT + LR,segment,0.08489017096378793,0.0011034437315316872,-1.54643160905632e-05,-9.395688532753965e-07,0.0008226094718499777,0.0013917884481559062,0.0003479471120388933,0.0011108531509785857,8.326672684688674e-17,-0.0006958942240779115,-0.00034794711203896267
Frozen MERT + LR,track,0.08489017096378793,0.0011034437315316872,4.498425551069385e-05,6.563483821997451e-06,0.00037689227417891935,6.938893903907228e-17,-1.1102230246251565e-16,0.0,9.71445146547012e-17,6.245004513516506e-17,6.938893903907228e-17
