run_id,trial_id,stage,epoch,train_loss,val_segment_roc_auc,val_segment_eer,val_track_roc_auc,val_track_eer,is_best_epoch,early_stop_counter,updates,cumulative_updates,val_inference_sec,epoch_sec
cnn_revised_20260919T110440Z,cnn_baseline,baseline,1,0.10316843715608248,0.7188941333678176,0.3776671408250356,0.756446452098626,0.3084886128364389,True,0,218,218,5.128206958994269,85.5875097499229
cnn_revised_20260919T110440Z,cnn_baseline,baseline,2,0.09779580526382214,0.7988490883227725,0.2809388335704125,0.8429324298889517,0.2422360248447205,True,0,218,436,4.156510208034888,79.56598687497899
cnn_revised_20260919T110440Z,cnn_baseline,baseline,3,0.0866871162579565,0.8267436096383465,0.26515151515151514,0.8791172595520422,0.20703933747412007,True,0,218,654,4.569869583006948,86.16378979198635
cnn_revised_20260919T110440Z,cnn_baseline,baseline,4,0.0837116250694782,0.7807448596922282,0.30303030303030304,0.8023244871070957,0.2727272727272727,False,1,218,872,4.448217957979068,86.89416837505996
cnn_revised_20260919T110440Z,cnn_baseline,baseline,5,0.07741807871399915,0.864961851803957,0.22727272727272727,0.8891869000564653,0.21532091097308492,False,2,218,1090,4.423940375098027,85.40672545798589
cnn_revised_20260919T110440Z,cnn_baseline,baseline,6,0.07049840737791371,0.8778611147032198,0.2083926031294452,0.8954451345755694,0.18181818181818182,True,0,218,1308,4.417177292052656,84.82555483304895
cnn_revised_20260919T110440Z,cnn_baseline,baseline,7,0.06444422484622704,0.8728555110134059,0.1893939393939394,0.9064558629776021,0.1590909090909091,True,0,218,1526,4.472160917008296,84.99020649993327
cnn_revised_20260919T110440Z,cnn_baseline,baseline,8,0.0587367548698056,0.9022587180481916,0.21212121212121213,0.9237248258987389,0.18181818181818182,False,1,218,1744,4.561969291069545,85.83286333398428
cnn_revised_20260919T110440Z,cnn_baseline,baseline,9,0.05635230413990827,0.9169037458511142,0.18181818181818182,0.9478166760775456,0.1532091097308489,True,0,218,1962,4.538969999994151,87.57278304209467
cnn_revised_20260919T110440Z,cnn_baseline,baseline,10,0.05253602303505731,0.8960677184361396,0.19696969696969696,0.9107848673066065,0.16356107660455488,False,1,218,2180,4.875740541960113,88.16276687500067
cnn_revised_20260919T110440Z,cnn_baseline,baseline,11,0.05205191702433428,0.8905933445407129,0.2196969696969697,0.9125729343120647,0.20454545454545456,False,2,218,2398,4.636494750040583,89.04770537500735
cnn_revised_20260919T110440Z,cnn_baseline,baseline,12,0.04987075431447503,0.9332029397818871,0.1443812233285917,0.960239036325993,0.09090909090909091,True,0,218,2616,4.637705917004496,87.66694629203994
cnn_revised_20260919T110440Z,cnn_baseline,baseline,13,0.043845155226229525,0.9455472218630114,0.12091038406827881,0.9670619235836628,0.09090909090909091,True,0,218,2834,4.60883141704835,87.51044104096945
cnn_revised_20260919T110440Z,cnn_baseline,baseline,14,0.0436817533343932,0.9430794430794431,0.1330014224751067,0.9565687935253152,0.11363636363636363,False,1,218,3052,4.615210874937475,87.63468445802573
cnn_revised_20260919T110440Z,cnn_baseline,baseline,15,0.03994001705561476,0.9403422561317298,0.14082503556187764,0.9471579145492188,0.1490683229813664,False,2,218,3270,4.676831417018548,87.79901495808735
cnn_revised_20260919T110440Z,cnn_baseline,baseline,16,0.03866316632101521,0.9423089357299883,0.11806543385490753,0.9507340485601355,0.10766045548654246,False,3,218,3488,4.647849750006571,87.77249779202975
cnn_revised_20260919T110440Z,cnn_baseline,baseline,17,0.03628768577000191,0.9505743782059571,0.13086770981507823,0.9569452286843589,0.11363636363636363,False,4,218,3706,4.733377416967414,87.66382183309179
cnn_revised_20260919T110440Z,cnn_s1_01,stage1,1,0.09671415001885422,0.8421160394844605,0.23484848484848486,0.883681535855449,0.19875776397515532,True,0,218,218,5.867525000008754,91.42138154106215
cnn_revised_20260919T110440Z,cnn_s1_01,stage1,2,0.08307909933646714,0.8800217681796629,0.21834992887624471,0.9127140974967062,0.19668737060041408,True,0,218,436,5.3449597919825464,92.96028749994002
cnn_revised_20260919T110440Z,cnn_s1_01,stage1,3,0.07207368642575125,0.898745635587741,0.18634423897581798,0.9168078298513082,0.1594202898550725,True,0,218,654,5.896221834002063,94.63873341691215
cnn_revised_20260919T110440Z,cnn_s1_01,stage1,4,0.06525862330948586,0.8445407129617657,0.25177809388335703,0.9087615283267457,0.20454545454545456,False,1,218,872,5.42286662501283,93.73958045896143
cnn_revised_20260919T110440Z,cnn_s1_01,stage1,5,0.056860715026246844,0.9169306866675286,0.16666666666666666,0.9535573122529644,0.11363636363636363,True,0,218,1090,5.31463066698052,92.10141250002198
